Timestamp	Filename	Error	Message
2015-03-02 09:06:59.709 -0500	ExceptionHandling.fmp12	0	Import of script steps from clipboard started
2015-03-02 09:06:59.778 -0500	Script 1	0	script steps imported : 1
2015-03-02 09:06:59.837 -0500	ExceptionHandling.fmp12	0	Import completed
2015-03-02 09:07:05.010 -0500	ExceptionHandling.fmp12	0	Import of script steps from clipboard started
2015-03-02 09:07:05.011 -0500	Script 1	0	script steps imported : 1
2015-03-02 09:07:05.012 -0500	ExceptionHandling.fmp12	0	Import completed
2015-03-02 09:07:11.602 -0500	ExceptionHandling.fmp12	0	Import of script steps from clipboard started
2015-03-02 09:07:11.609 -0500	Script 2 ( calledBy )	0	script steps imported : 1
2015-03-02 09:07:11.649 -0500	ExceptionHandling.fmp12	0	Import completed
2015-03-02 09:07:25.836 -0500	ExceptionHandling.fmp12	0	Import of script steps from clipboard started
2015-03-02 09:07:25.855 -0500	Script B ( calledBy )	0	script steps imported : 1
2015-03-02 09:07:25.856 -0500	ExceptionHandling.fmp12	0	Import completed
2015-04-08 13:10:59.885 -0400	ExceptionHandling.fmp12	0	Import of scripts from file “FogBugz API Integration.fmp12” started
2015-04-08 13:10:59.889 -0400	-	0	script steps imported : 0
2015-04-08 13:10:59.892 -0400	FogBugz API Integration: README	0	script steps imported : 44
2015-04-08 13:10:59.897 -0400	FogBugz API Integration: Version 1.0.0	0	script steps imported : 34
2015-04-08 13:10:59.898 -0400	-	0	script steps imported : 0
2015-04-08 13:10:59.899 -0400	ExceptionHandling.fmp12	0	scripts imported : 4
2015-04-08 13:10:59.899 -0400	ExceptionHandling.fmp12	0	Import completed
2015-04-08 13:22:52.503 -0400	ExceptionHandling.fmp12	0	Import of scripts from clipboard started
2015-04-08 13:22:52.540 -0400	ExceptionHandling.fmp12	0	Script “~EXH: Get Root Exception ( stackTrace ) > #rootException” imported as “~EXH: Get Root Exception ( stackTrace ) > #rootException 2” since a script named “~EXH: Get Root Exception ( stackTrace ) > #rootException” already exists.
2015-04-08 13:22:52.541 -0400	ExceptionHandling.fmp12	0	Script “~EXH: Get Last Exception ( stackTrace ) > #lastException” imported as “~EXH: Get Last Exception ( stackTrace ) > #lastException 2” since a script named “~EXH: Get Last Exception ( stackTrace ) > #lastException” already exists.
2015-04-08 13:22:52.542 -0400	~EXH: Get Root Exception ( stackTrace ) > #rootException 2	0	script steps imported : 0
2015-04-08 13:22:52.543 -0400	~EXH: Get Last Exception ( stackTrace ) > #lastException 2	0	script steps imported : 0
2015-04-08 13:22:52.544 -0400	ExceptionHandling.fmp12	0	scripts imported : 2
2015-04-08 13:22:52.544 -0400	ExceptionHandling.fmp12	0	Import completed
2015-04-08 13:23:09.895 -0400	ExceptionHandling.fmp12	0	Import of scripts from clipboard started
2015-04-08 13:23:09.897 -0400	ExceptionHandling.fmp12	0	Script “~EXH: Add Script Instance to Stack Trace ( scriptName ; scriptParam { #exception } )” imported as “~EXH: Add Script Instance to Stack Trace ( scriptName ; scriptParam { #exception } ) 2” since a script named “~EXH: Add Script Instance to Stack Trace ( scriptName ; scriptParam { #exception } )” already exists.
2015-04-08 13:23:09.898 -0400	ExceptionHandling.fmp12	0	Script “~EXH: Clear Stack Trace” imported as “~EXH: Clear Stack Trace 2” since a script named “~EXH: Clear Stack Trace” already exists.
2015-04-08 13:23:09.898 -0400	ExceptionHandling.fmp12	0	Script “~EXH: Get Stack Trace > #stackTrace” imported as “~EXH: Get Stack Trace > #stackTrace 2” since a script named “~EXH: Get Stack Trace > #stackTrace” already exists.
2015-04-08 13:23:09.899 -0400	~EXH: Add Script Instance to Stack Trace ( scriptName ; scriptParam { #exception } ) 2	0	script steps imported : 0
